Node #	 Volume (mm^3)	MNI x	MNI y	MNI z
1	4965	14	57	-17
2	3367	10	18	-19
3	4248	5	35	-17
4	2385	16	34	-23
5	6436	8	46	-2
6	5627	15	65	4
7	4874	31	55	-4
8	5142	45	46	-5
9	8091	29	51	19
10	7549	8	53	24
11	6389	38	35	31
12	8570	14	37	49
13	5450	24	31	36
14	5968	41	14	48
15	5070	7	21	31
16	7575	54	25	1
17	5714	33	37	-16
18	3256	27	20	-21
19	6344	48	36	15
20	3744	37	21	6
21	7170	55	10	22
22	4650	40	18	29
23	7440	58	-8	27
24	4343	6	-22	66
25	3690	7	-8	53
26	5891	26	-13	66
27	4733	49	-4	48
28	3970	6	14	49
29	7311	14	6	65
30	4790	25	12	49
31	3460	40	3	34
32	3273	32	-5	52
33	6972	42	-23	53
34	3555	42	5	-8
35	3703	41	4	7
36	4090	37	21	-10
37	4568	38	-12	-1
38	4859	32	-39	50
39	6687	20	-33	70
40	3721	43	-11	14
41	6539	25	-52	68
42	4344	15	-68	35
43	11659	32	-61	49
44	8121	7	-57	62
45	9818	53	-27	41
46	7635	58	-29	20
47	9524	54	-45	37
48	7536	48	-62	35
49	6082	41	-75	28
50	6030	49	-58	14
51	3019	27	12	-39
52	4094	40	19	-34
53	6898	53	11	-22
54	2666	50	-34	-1
55	5545	61	-23	-22
56	3812	54	-8	-32
57	3697	47	4	-40
58	3389	40	-11	-36
59	3171	43	-26	-25
60	3128	31	1	-44
61	8377	59	-3	3
62	4081	40	-26	14
63	6510	62	-24	-3
64	6013	56	-9	-14
65	7610	59	-44	8
66	3480	46	-60	-15
67	4550	36	-69	-17
68	5033	25	-45	-12
69	5572	55	-56	-5
70	7893	61	-43	-18
71	4787	42	-46	-23
72	5160	21	-64	-9
73	5017	30	-83	21
74	6589	45	-74	3
75	7048	19	-82	42
76	6226	18	-83	-11
77	4326	8	-75	25
78	5515	24	-96	6
79	3576	7	-76	-3
80	5914	8	-89	12
81	5052	31	-92	-11
82	5351	15	-68	8
83	4695	8	35	17
84	3038	5	-1	36
85	3200	5	-39	27
86	4903	12	-57	18
87	2176	28	-54	7
88	2103	7	-19	30
89	3531	8	-23	45
90	5764	6	-57	38
91	4394	8	-40	48
92	3590	31	4	-22
93	2634	29	-37	0
94	2275	36	-15	-18
95	4512	28	-28	-14
96	2921	29	-20	-26
97	3004	25	-3	-31
98	5112	15	-46	3
99	4976	19	-8	-15
100	5424	32	-78	-40
101	5245	6	-51	-12
102	7680	39	-75	-30
103	3493	14	-40	-25
104	1543	24	-36	-43
105	2789	7	-68	-38
106	4123	7	-69	-21
107	5109	46	-46	-42
108	3263	16	-47	-52
109	4269	23	-59	-52
110	4146	21	-55	-24
111	5526	12	-84	-35
112	4877	20	-74	-50
113	4425	37	-57	-33
114	4651	23	-72	-29
115	3194	8	-57	-51
116	7491	42	-64	-49
117	2783	7	-54	-34
118	3801	34	-47	-54
119	3861	30	-36	-31
120	1529	21	-36	23
121	3796	13	13	11
122	2597	14	-4	21
123	3729	13	20	-1
124	4105	27	6	0
125	5085	14	8	-9
126	3726	10	-27	-2
127	3154	12	-28	14
128	4408	5	-10	5
129	2325	5	-37	-53
130	2849	10	-19	-31
131	1608	6	-22	-42
132	3715	6	-25	-17
133	2612	7	-34	-37
134	2983	-5	29	-10
135	2855	-18	19	-21
136	1971	-6	18	-22
137	4548	-8	40	-21
138	4749	-7	48	-6
139	5427	-18	57	-14
140	5575	-6	48	12
141	5640	-12	65	4
142	4098	-29	54	3
143	4507	-43	47	-7
144	6283	-29	50	22
145	5600	-10	56	30
146	7833	-27	34	36
147	7059	-46	28	27
148	8485	-11	34	51
149	6700	-39	17	47
150	4360	-5	18	46
151	6325	-46	28	-7
152	3957	-28	36	-16
153	3883	-32	20	-16
154	6106	-43	42	11
155	4516	-32	22	6
156	6623	-53	18	11
157	6830	-46	8	29
158	4931	-42	-15	45
159	5095	-58	-6	27
160	1744	-16	-19	70
161	4319	-6	-4	48
162	7259	-9	0	67
163	7021	-57	-3	7
164	7552	-23	11	54
165	5429	-46	0	49
166	3471	-28	-9	56
167	7051	-36	-23	66
168	4112	-39	2	10
169	3888	-39	8	-5
170	4595	-38	-13	-1
171	6869	-51	-24	41
172	3404	-24	-32	64
173	3446	-41	-16	14
174	6596	-7	-34	67
175	9632	-25	-55	64
176	5771	-9	-71	32
177	7744	-28	-62	40
178	8536	-10	-66	55
179	6156	-36	-39	48
180	4354	-42	-31	16
181	6732	-60	-26	22
182	7464	-42	-66	42
183	7604	-51	-56	20
184	10181	-53	-44	39
185	2681	-38	6	-38
186	3885	-35	19	-32
187	2833	-49	11	-31
188	6086	-50	6	-15
189	2641	-23	9	-39
190	4258	-58	-6	-23
191	7044	-59	-30	3
192	7466	-58	-47	5
193	6128	-60	-27	-18
194	3027	-49	-5	-37
195	2364	-38	-13	-29
196	2411	-52	-18	-29
197	6106	-57	-15	-7
198	3900	-27	-43	-16
199	8544	-60	-50	-14
200	3458	-43	-52	-17
201	4180	-47	-40	-24
202	2812	-30	-6	-41
203	7160	-41	-75	23
204	4749	-32	-87	13
205	4912	-17	-51	1
206	4713	-43	-70	-14
207	6059	-26	-63	-12
208	9552	-17	-85	33
209	6172	-48	-67	1
210	4304	-36	-84	-4
211	4410	-9	-71	-2
212	7058	-11	-98	8
213	7909	-15	-84	-13
214	5211	-22	-97	-10
215	5813	-6	-81	12
216	3709	-22	-67	7
217	2289	-24	-41	20
218	4170	-8	-22	46
219	5821	-6	34	26
220	1376	-4	-5	33
221	3729	-5	13	29
222	5645	-9	-59	18
223	2879	-5	-36	32
224	2221	-7	-18	30
225	5131	-7	-54	37
226	4799	-9	-43	50
227	1691	-7	-42	13
228	4148	-27	2	-19
229	2338	-21	-37	6
230	2470	-32	-40	-4
231	4920	-23	-13	-17
232	2557	-36	-25	-15
233	3611	-21	-31	-11
234	3172	-31	-24	-27
235	3281	-21	-4	-29
236	3147	-7	-66	-38
237	2705	-9	-51	-40
238	4468	-37	-53	-31
239	2492	-9	-55	-52
240	3949	-21	-70	-49
241	8228	-40	-74	-29
242	5294	-30	-80	-40
243	2544	-19	-46	-53
244	5232	-7	-50	-11
245	3127	-28	-36	-31
246	6772	-43	-64	-46
247	5762	-10	-82	-32
248	4563	-8	-68	-20
249	3934	-35	-50	-54
250	3158	-23	-58	-49
251	3712	-10	-38	-25
252	4552	-46	-47	-43
253	5126	-26	-70	-31
254	3363	-21	-53	-24
255	2438	-7	-55	-26
256	1749	-24	-38	-44
257	1446	-11	24	10
258	3263	-13	12	9
259	6997	-10	11	-8
260	2379	-15	-4	21
261	3935	-25	6	0
262	3366	-10	-25	-1
263	4523	-5	-10	6
264	3084	-12	-26	15
265	3632	-5	-22	-16
266	2664	-5	-38	-53
267	2798	-7	-33	-39
268	2439	-6	-19	-37
